Detector;Descriptor; Lidar TTC (s); Camera TTC (s) ;Time (s);xMinCurr (m) ;xMinPrev (m);XminPrev-xMinCurr (m)
SHITOMASI;BRIEF;14.1696;13.6884;0;7.935;7.991;0.056
SHITOMASI;BRIEF;12.1077;14.8169;0.1;7.87;7.935;0.065
SHITOMASI;BRIEF;23.7485;14.3827;0.2;7.837;7.87;0.033
SHITOMASI;BRIEF;11.258;13.1113;0.3;7.768;7.837;0.069
SHITOMASI;BRIEF;11.8508;12.3969;0.4;7.703;7.768;0.065
SHITOMASI;BRIEF;11.7508;13.7279;0.5;7.638;7.703;0.065
SHITOMASI;BRIEF;14.0445;16.6164;0.6;7.584;7.638;0.054
SHITOMASI;BRIEF;20.9665;12.8457;0.7;7.548;7.584;0.036
SHITOMASI;BRIEF;12.0742;11.9423;0.8;7.486;7.548;0.062
SHITOMASI;BRIEF;14.0245;13.5328;0.9;7.433;7.486;0.053
SHITOMASI;BRIEF;11.514;11.5668;1;7.369;7.433;0.064
SHITOMASI;BRIEF;10.1347;11.9209;1.1;7.297;7.369;0.072
SHITOMASI;BRIEF;8.58689;11.7829;1.2;7.213;7.297;0.084
SHITOMASI;BRIEF;11.1704;11.1083;1.3;7.149;7.213;0.064
SHITOMASI;BRIEF;7.84332;10.9451;1.4;7.059;7.149;0.09
SHITOMASI;BRIEF;8.94999;11.8703;1.5;6.981;7.059;0.078
SHITOMASI;BRIEF;10.0174;11.5895;1.6;6.912;6.981;0.069
SHITOMASI;BRIEF;10.7;8.79473;1.7;6.848;6.912;0.064
